,alg,scale,model_selection,threshold,accuracy
0,RF,non-scaled,RF-select,0.0,0.8654100529100529
1,NB,non-scaled,NB-select,0.0,0.6008597883597884
2,RF,non-scaled,RF-select,0.05,0.8720238095238095
3,NB,non-scaled,NB-select,0.05,0.6008597883597884
4,RF,non-scaled,RF-select,0.1,0.8716931216931217
5,NB,non-scaled,NB-select,0.1,0.5992063492063492
6,RF,non-scaled,RF-select,0.15,0.871031746031746
7,NB,non-scaled,NB-select,0.15,0.5982142857142857
8,RF,non-scaled,RF-select,0.2,0.8700396825396826
9,NB,non-scaled,NB-select,0.2,0.5965608465608465
10,RF,non-scaled,RF-select,0.3,0.8687169312169312
11,NB,non-scaled,NB-select,0.3,0.5876322751322751
12,RF,non-scaled,Correlation-select,0.05,0.8687169312169312
13,NB,non-scaled,Correlation-select,0.05,0.6028439153439153
14,RF,non-scaled,Correlation-select,0.1,0.8740079365079365
15,NB,non-scaled,Correlation-select,0.1,0.5988756613756614
16,RF,non-scaled,Correlation-select,0.12,0.8716931216931217
17,NB,non-scaled,Correlation-select,0.12,0.5958994708994709
18,RF,non-scaled,Correlation-select,0.15,0.8723544973544973
19,NB,non-scaled,Correlation-select,0.15,0.5972222222222222
20,RF,non-scaled,Correlation-select,0.18,0.8693783068783069
21,NB,non-scaled,Correlation-select,0.18,0.5952380952380952
22,RF,non-scaled,Correlation-select,0.2,0.8713624338624338
23,NB,non-scaled,Correlation-select,0.2,0.5912698412698413
24,RF,non-scaled,Correlation-select,0.3,0.8713624338624338
25,NB,non-scaled,Correlation-select,0.3,0.5853174603174603
26,RF,standard-scale,RF-select,0.0,0.8697089947089947
27,NB,standard-scale,NB-select,0.0,0.47156084656084657
28,RF,standard-scale,RF-select,0.05,0.8677248677248677
29,NB,standard-scale,NB-select,0.05,0.47156084656084657
30,RF,standard-scale,RF-select,0.1,0.871031746031746
31,NB,standard-scale,NB-select,0.1,0.48544973544973546
32,RF,standard-scale,RF-select,0.15,0.8703703703703703
33,NB,standard-scale,NB-select,0.15,0.4685846560846561
34,RF,standard-scale,RF-select,0.2,0.8720238095238095
35,NB,standard-scale,NB-select,0.2,0.48412698412698413
36,RF,standard-scale,RF-select,0.3,0.8700396825396826
37,NB,standard-scale,NB-select,0.3,0.4728835978835979
38,RF,standard-scale,Correlation-select,0.05,0.8673941798941799
39,NB,standard-scale,Correlation-select,0.05,0.4755291005291005
40,RF,standard-scale,Correlation-select,0.1,0.8743386243386243
41,NB,standard-scale,Correlation-select,0.1,0.4851190476190476
42,RF,standard-scale,Correlation-select,0.12,0.8700396825396826
43,NB,standard-scale,Correlation-select,0.12,0.48478835978835977
44,RF,standard-scale,Correlation-select,0.15,0.8720238095238095
45,NB,standard-scale,Correlation-select,0.15,0.4851190476190476
46,RF,standard-scale,Correlation-select,0.18,0.8700396825396826
47,NB,standard-scale,Correlation-select,0.18,0.4781746031746032
48,RF,standard-scale,Correlation-select,0.2,0.8716931216931217
49,NB,standard-scale,Correlation-select,0.2,0.46924603174603174
50,RF,standard-scale,Correlation-select,0.3,0.8716931216931217
51,NB,standard-scale,Correlation-select,0.3,0.4699074074074074
52,RF,min-max-scale,RF-select,0.0,0.8726851851851852
53,NB,min-max-scale,NB-select,0.0,0.4751984126984127
54,RF,min-max-scale,RF-select,0.05,0.8697089947089947
55,NB,min-max-scale,NB-select,0.05,0.4751984126984127
56,RF,min-max-scale,RF-select,0.1,0.8733465608465608
57,NB,min-max-scale,NB-select,0.1,0.48677248677248675
58,RF,min-max-scale,RF-select,0.15,0.8644179894179894
59,NB,min-max-scale,NB-select,0.15,0.4742063492063492
60,RF,min-max-scale,RF-select,0.2,0.8703703703703703
61,NB,min-max-scale,NB-select,0.2,0.4880952380952381
62,RF,min-max-scale,RF-select,0.3,0.8720238095238095
63,NB,min-max-scale,NB-select,0.3,0.4781746031746032
64,RF,min-max-scale,Correlation-select,0.05,0.8670634920634921
65,NB,min-max-scale,Correlation-select,0.05,0.47585978835978837
66,RF,min-max-scale,Correlation-select,0.1,0.8736772486772487
67,NB,min-max-scale,Correlation-select,0.1,0.48644179894179895
68,RF,min-max-scale,Correlation-select,0.12,0.8713624338624338
69,NB,min-max-scale,Correlation-select,0.12,0.48644179894179895
70,RF,min-max-scale,Correlation-select,0.15,0.871031746031746
71,NB,min-max-scale,Correlation-select,0.15,0.48644179894179895
72,RF,min-max-scale,Correlation-select,0.18,0.8687169312169312
73,NB,min-max-scale,Correlation-select,0.18,0.478505291005291
74,RF,min-max-scale,Correlation-select,0.2,0.8723544973544973
75,NB,min-max-scale,Correlation-select,0.2,0.4712301587301587
76,RF,min-max-scale,Correlation-select,0.3,0.8707010582010583
77,NB,min-max-scale,Correlation-select,0.3,0.4718915343915344
78,RF,normalized,RF-select,0.0,0.8740079365079365
79,NB,normalized,NB-select,0.0,0.4546957671957672
80,RF,normalized,RF-select,0.05,0.8667328042328042
81,NB,normalized,NB-select,0.05,0.455026455026455
82,RF,normalized,RF-select,0.1,0.873015873015873
83,NB,normalized,NB-select,0.1,0.455026455026455
84,RF,normalized,RF-select,0.15,0.8683862433862434
85,NB,normalized,NB-select,0.15,0.4503968253968254
86,RF,normalized,RF-select,0.2,0.8673941798941799
87,NB,normalized,NB-select,0.2,0.4626322751322751
88,RF,normalized,RF-select,0.3,0.8716931216931217
89,NB,normalized,NB-select,0.3,0.45866402116402116
90,RF,normalized,Correlation-select,0.05,0.8683862433862434
91,NB,normalized,Correlation-select,0.05,0.4460978835978836
92,RF,normalized,Correlation-select,0.1,0.8697089947089947
93,NB,normalized,Correlation-select,0.1,0.4593253968253968
94,RF,normalized,Correlation-select,0.12,0.8716931216931217
95,NB,normalized,Correlation-select,0.12,0.460978835978836
96,RF,normalized,Correlation-select,0.15,0.8680555555555556
97,NB,normalized,Correlation-select,0.15,0.4695767195767196
98,RF,normalized,Correlation-select,0.18,0.8687169312169312
99,NB,normalized,Correlation-select,0.18,0.4705687830687831
100,RF,normalized,Correlation-select,0.2,0.8707010582010583
101,NB,normalized,Correlation-select,0.2,0.4699074074074074
102,RF,normalized,Correlation-select,0.3,0.8690476190476191
103,NB,normalized,Correlation-select,0.3,0.46825396825396826
